Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
3/26/17,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"Re : XXXX XXXX XXXX XXXX # XXXX {$1100.00} I have disputed the issue with the reporting company but have not received a final response other than what shows on my credit tracking apps. 
I could argue that several of the reasoning options listed above would suffice as a grounds for complaint, ie., did not get proper help over the phone, problem with statement of dispute, investigation took too long, etc. ... .and, I could probably add a few more not listed. I am frustrated! 
My complaint is against TransUnion for not addressing my dispute with original creditor ( collection agency ) with proper ethics and advocacy on my part. I have disputed this balance several times now with TransUnion because the original creditor will not comply with requests for itemized and detailed invoices and line item charges which I have requested multiple times from collection agency who now has this account. My purpose in requesting these was to instigate an affidavit of unauthorized charges on this original account. I get nowhere with collection agency and in fact am told that they are only required to provide basic and satisfying information to validate the debt to the reporting credit bureau. I know it is my account, however, the question is accuracy of amount due because of these unauthorized charges. My complaint with original creditor is that these unauthorized charges are the result of retailer ( in this case XXXX revolving card ) not verifying my identity with proper ID at time of purchase therefore allowing unauthorized person ( s ) to charge to my account. Twice in XX/XX/XXXX, attempts were made with representative XXXX at collection agency ( XXXX XXXX ) but told each time that his agency has sent required docs to reporting agencies. I requested to haves them sent to me as well and was told that I should get them in 7-10 days. I had even sent, via mail, a request for documents and NOT EVEN a response back. Nothing! 
At this time, this is neither here nor there now as I have moved past trying to get the collection agency to provide my requests and now see that my time is wasted dealing with the collection agency as I was getting nowhere. Therefore, I directed my complaint to TransUnion in the hope that their investigation would prompt collection agency to provide accurate account information. 
TransUnion has a responsibility in proper investigating and in reporting to me the timely status of the investigation instead of the dry and customary "" meets FCRA requirements ''. I have disputed this twice now ( three if you count the initial phone call dispute ) with TransUnion and do n't even get the courtesy of a letter or email to notify me of status or findings. I am very frustrated and feel as though I have no rights in this matter and have gotten nowhere in following recommended protocol and steps for resolution. This has been an education for me and I have learned that the reporting bureaus do n't have to substantiate anything except known public record type of information to satisfy the proof of debt. The credit process has been made to be a black or white issue with reporting and follows a general set of guidelines and protocol therefore making it a laborious process to communicate situations and disputes that are not always black or white and do require more ethical investigation than just the standardized proof of debt validation. On top of this, it has easy to see the close relationship that the bureaus keep with the lenders and creditors that works against the borrower in many cases when a person such as myself has to fight for my right to obtain information and request dispute resolutions. 

For final disposition on this matter, I request that this be removed from my report with TransUnion as I see no other viable or satisfying solution and have exhausted all resources.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,782XX,,Consent provided,Web,3/26/17,Closed with non-monetary relief,Yes,No,2404003
11/13/15,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,Company believes the complaint is the result of a misunderstanding,Focus Holding Company,MA,1886,,Consent not provided,Web,11/13/15,Closed with explanation,Yes,No,1653539
03/07/2012,Credit card,,Credit line increase/decrease,,,,CAPITAL ONE FINANCIAL CORPORATION,MD,21201,,N/A,Referral,03/07/2012,Closed without relief,Yes,No,31761
03/07/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NY,10701,,N/A,Web,03/07/2014,Closed with explanation,Yes,No,749075
8/20/14,Debt collection,Federal student loan,Improper contact or sharing of info,Contacted employer after asked not to,,,"Navient Solutions, LLC.",PR,985,,N/A,Web,8/21/14,Closed with explanation,Yes,No,994594
6/27/16,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"CAVALRY INVESTMENTS, LLC",PA,18518,,N/A,Phone,6/30/16,Closed with explanation,Yes,No,1986411
2/14/14,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Carter-Young, Inc.",OH,43044,Servicemember,N/A,Web,2/15/14,Closed with explanation,Yes,No,715263
4/22/14,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Eastern Account Systems of Connecticut, Inc.",NJ,7717,,N/A,Web,4/22/14,Closed with explanation,Yes,No,818822
6/28/16,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,16510,,Consent not provided,Web,6/30/16,Closed with explanation,Yes,No,1989803
10/16/15,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,"While checking my personal credit report, I discovered an Unauthorized and Fraudulent credit inquiry made without my KNOWLEDGE or CONSENT by XXXX XXXX on or about XXXX/XXXX/2014 on EQUIFAX credit file. I did not authorized or give permission to anyone employed by this company to make any inquiry and view my credit report. XXXX XXXX has violated the Fair Credit Reporting Act Section 1681b ( c ). They were not legally entitled to make this fraudulent inquiry. This is a serious breach of my privacy rights. I am requesting that they mail me a copy of my signed authorization form that gave them the right to view my credit within five ( 5 ) business days so that I can verify its validity and advised them that if they can not provide me with proof that I authorized them to view my credit report then I am demanding that they contact the credit bureaus and have them remove the unauthorized and fraudulent hard inquiry immediately.",,"EQUIFAX, INC.",WA,983XX,,Consent provided,Web,10/16/15,Closed with non-monetary relief,Yes,No,1610169
