Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
10/28/15,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7730,,N/A,Referral,10/30/15,Closed with explanation,Yes,No,1630042
3/26/15,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Statebridge company LLC this mortgage company do not cooperate with anybody or anyone. 
After I fell in foreclose I did everything to try to save my home. Every where I went to do the harp program I did qualify for this program. But statebridge say differently. After reviewing all my income for this qualification which I got a proof. Statebridge still say no. So I did what anybody will do. Get it for short sale. They still gave short sale center an hard time for there cooperation. They refuse to help the short sale center for any information that they made need. Please help me Because I have a sale date for XXXX XXXX, 2015. I want to same my home and making the suitable mortgage payment. Thank you ....",Company believes it acted appropriately as authorized by contract or law,Statebridge Company,FL,330XX,,Consent provided,Web,3/26/15,Closed with explanation,Yes,No,1303080
11/14/14,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,63501,Older American,N/A,Postal mail,11/18/14,Closed with explanation,Yes,No,1118054
11/18/13,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",KS,66112,,N/A,Web,11/18/13,Closed with non-monetary relief,Yes,Yes,601165
12/02/2015,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Ditech Financial LLC,FL,32720,,Consent not provided,Web,12/07/2015,Closed with explanation,Yes,No,1679989
10/22/13,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90723,,N/A,Postal mail,10/23/13,Closed with non-monetary relief,Yes,No,566126
01/03/2017,Credit reporting,,Incorrect information on credit report,Account status,,,LEXISNEXIS,TX,75057,Older American,N/A,Phone,01/04/2017,Closed with explanation,Yes,No,2272044
4/25/13,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,WELLS FARGO & COMPANY,PA,19342,Older American,N/A,Web,4/26/13,Closed with explanation,Yes,Yes,391510
06/08/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",NY,11691,,N/A,Postal mail,06/10/2016,Closed with explanation,Yes,No,1960721
10/05/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"ONLINE Information Services, Inc.",FL,32164,,Consent not provided,Web,10/05/2015,Closed with explanation,Yes,Yes,1593472
1/30/15,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",KS,67156,,N/A,Postal mail,2/24/15,Closed with explanation,Yes,No,1217826
3/25/15,Money transfers,Domestic (US) money transfer,Fraud or scam,,"In XXXX XX/XX/2013, XXXX, a no-contract gym in XXXX, NM, used my XXXX year old son 's signature to forge an EFT authorization on my checking account, of which I am the sole owner/signatory. XXXX XXXX lifted the account/routing number from a paper check that I wrote to them to cover one month 's membership fees for my son. This check clearly listed only myself as the the account holder, not my son. My son was under the impression that he was signing up for a membership, nothing else, and simply signed his name, "" here, here, and here '', as directed by the gym 's employee, while no parent/legal guardian was present. He left with the understanding that he was good to use the gym for XXXX month only, since that was what my check covered, and only ended up using the gym for that XXXX month so as not to owe another month 's membership fee. 
Subsequent to that membership application, XXXX XXXX made XXXX unauthorized monthly EFTs on my checking account, without ever seeking proper authorization from me, or providing me a copy of the authorization they were using with my son 's signature. In XXXX XX/XX/XXXX, I discovered the unauthorized EFTs while stopping another authorized EFT for my son 's college fund, and informed XXXX XXXX to cease and desist the unauthorized transfers and return the stolen funds forthwith. They stopped the EFTs, but refused to refund the unauthorized transfers. 
I submitted a claim with my bank for restitution of the unauthorized EFTs, but my claim was denied because the gym 's bank, US Bank, will not return the transfers without the permission of XXXX, the forger of the EFT authorization. At no point during these fraudulent EFTs, did either my bank, XXXX XXXX XXXX XXXX, or the gym 's bank, US Bank, verify that the EFT authorization contained the name or signature matching the checking account holder, namely myself. I should also mention that my son has a different last name than I do, which should 've made the bogus EFT authorization painfully obvious. 
I am currently in the process of submitting a complaint with the NM Attorney General for XXXX, but am still confounded as to how this bogus EFT authorization flew by XXXX banks for nearly 2 years without question. 
I have since learned that shady businesses, such as no-contract gyms, PREFER or REQUIRE payment via checking account EFTs since they KNOW the banks wo n't verify authorization, probably because the EFT Act holds them blameless for EFT fraud. Although I realize the originator of the forged EFT authorization is responsible for this financial crime, it would not be possible without the blind eyes the financial institutions employ during these transactions. Shady businesses prefer ACH EFTs on checking accounts rather than credit card transactions because they know it 's very difficult for consumers to get the banks to restore funds transferred without proper authorization. There needs to be some changes to the EFT Act to levy penalties on banks that transfer money out of accounts without proper authorization, instead of only requiring the account/routing information of a viable account, and worrying about authorization after the fact, or when they get caught.",Company chooses not to provide a public response,U.S. BANCORP,NM,870XX,,Consent provided,Web,3/25/15,Closed with explanation,Yes,No,1301028
03/10/2014,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian Information Solutions Inc.,GA,30049,,N/A,Web,03/10/2014,Closed with non-monetary relief,Yes,No,759894
10/27/15,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,"TOWER LOAN OF MISSISSIPPI, INC.",AL,36619,,N/A,Postal mail,11/02/2015,Closed with explanation,Yes,No,1627422
1/18/13,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"Neighborhood Assistance Corporation of America (""NACA"")",FL,32223,,N/A,Web,1/23/13,Closed with non-monetary relief,No,No,244963
5/23/14,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,Michael Andrews & Associates LLC,CA,90025,,N/A,Web,5/23/14,Closed with explanation,Yes,No,866873
12/17/14,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,,EXETER FINANCE CORP.,VA,22193,,N/A,Web,12/17/14,Closed with explanation,Yes,No,1160899
05/11/2014,Credit card,,Credit card protection / Debt protection,,,,CAPITAL ONE FINANCIAL CORPORATION,LA,70435,,N/A,Web,5/14/14,Closed with explanation,Yes,No,846854
10/06/2016,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77044,,Consent not provided,Web,10/06/2016,Closed with non-monetary relief,Yes,No,2150223
11/14/16,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"nationstar mortgage fraud and illegal debt collection practices. trying to foreclosure and suing under XXXX on a mortgage loan that was settled in XX/XX/XXXX by XXXX through their law firm when we informed then they just keep trying to collect what we believed to be a settled debt recorded in the public record and for 3 years they did nothing either in court or through XXXX to address the situation until now after the filing a lawsuit for a property they claim to be the servicer of but county records show was assigned ( sold ) to them after we were informed the debt was satisfied in XXXX XXXX the fraudulent activity by all the parties from origination in XXXX to present false information with the court filing should be invested to see who to bring criminal charges against. will not provide the closing documents to show who ( XXXX ) funded this loan if it was funde at all? charges to maintain a property I live in and they do not maintain it I do, charges for property inspection, some mouths shows two or more of these charge.",,NATIONSTAR MORTGAGE,FL,327XX,,Consent provided,Web,11/14/16,Closed with explanation,Yes,Yes,2208308
10/28/15,Debt collection,Payday loan,Improper contact or sharing of info,Contacted employer after asked not to,,,"Citi Management Group, LLC",NY,10703,,Consent not provided,Web,11/04/2015,Closed with explanation,Yes,No,1628911
7/14/16,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",MD,20874,,Consent not provided,Web,7/14/16,Closed with explanation,Yes,Yes,2012539
08/12/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes the complaint is the result of a misunderstanding,"National Credit Systems,Inc.",AL,35758,,N/A,Phone,08/12/2016,Closed with explanation,Yes,No,2061619
8/27/14,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"The CMI Group, Inc.",IL,60643,"Older American, Servicemember",N/A,Postal mail,09/02/2014,Closed with non-monetary relief,Yes,No,1003039
1/28/16,Credit reporting,,Incorrect information on credit report,Account status,"I have resolved a credit issue and am in possession of the letter from the creditor to delete the record from my credit report. I tried to use TransUnion website to do this but it is fraught with technical problems and the process failed. I proceeded to call the telephone support number which is XXXX XXXX. These people registered the case but I am unable to supply supporting documentation ( the XXXX page letter ) because 1. the FAX number at TransUnion does not work, 2. they do not use email and 3. they request I use snail mail which will delay removal of the offending record. The process will take at least a month and many calls to TransUnion to resolve. This is effecting me very badly. Should not take so long. With lives in the balance these companies should be required to fix credit reports on demand, within 24 hours.",Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,958XX,,Consent provided,Web,1/28/16,Closed with explanation,Yes,No,1760410
11/13/16,Credit reporting,,Incorrect information on credit report,Personal information,,,"EQUIFAX, INC.",CA,90277,,Consent not provided,Web,11/13/16,Closed with explanation,Yes,No,2206048
1/14/17,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",OK,741XX,,Other,Web,1/18/17,Closed with explanation,Yes,No,2289838
9/15/16,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MO,63111,,N/A,Phone,9/19/16,Closed with explanation,Yes,No,2113402
01/08/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,FL,33018,,N/A,Web,01/08/2015,Closed with explanation,Yes,No,1185791
4/30/15,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMORGAN CHASE & CO.,MI,48910,,N/A,Referral,05/01/2015,Closed with explanation,Yes,No,1354733
3/29/16,Bank account or service,Checking account,Deposits and withdrawals,,"I had someone use my debt card in another State fraudulently. I filed a dispute and sent it via the companies guidelines through email to their disputes department. It was XXXX XXXX, 2016. I was told I would get a provisional credit until they finished their investigation. As of XXXX XXXX, 2016, I did not yet get a credit in any manner to my account. I have no money to buy food and pay bills. I have accrued addition late fees for bills to amount {$100.00} in total because of their delay and breach of contract.",Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,ID,837XX,Servicemember,Consent provided,Web,3/30/16,Closed with explanation,Yes,No,1854621
3/19/14,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85304,,N/A,Referral,3/25/14,Closed with explanation,Yes,Yes,765975
3/18/16,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,"WESTERN UNION COMPANY, THE",PR,646,,Consent not provided,Web,3/21/16,Closed with explanation,Yes,No,1839755
09/08/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,"CITIBANK, N.A.",PR,778,,N/A,Fax,10/19/15,Closed with non-monetary relief,Yes,No,1555828
03/07/2017,Credit card,,Identity theft / Fraud / Embezzlement,,"In XX/XX/XXXX Discover Card called my number several times claiming to alert me to identity theft. I also received a letter dated XX/XX/2016 stating that Federal Law requires them to verify and record all information that identifies each person who applies for credit. I did not apply for credit from Discover Card. Their letter required me to call their Fraud Department and suggested I notify the XXXX credit agencies. 

I called and asked for a copy of the application and I was told I had to "" prove '' who I was by sending certain documents, including a police report of identity theft. All these I did. I also sent a letter dated XX/XX/2016. Still I did not receive the copy. I began calling asking for the report. I was told that it was "" in archives ''. I asked why it would be in archives if we were currently working on it. I was told it would only take anywhere from 24 hours to two weeks to bring the document out of archives and send it to me. I called in XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and talked to various individuals, all of whom told me the document was in archives and they would bring it out and send me a copy. 

On XX/XX/2016 I spoke with a supervisor, XXXX XXXX who once again told me the application was "" in archives ''. I asked how that could be since I had been calling for two months. He said he would take care of it. But no. I called on XX/XX/XXXX, and was told one day. I call on XX/XX/XXXX, XX/XX/XXXX and talked to XXXX in Utah, XX/XX/XXXX talked to XXXX and finally was transferred to the "" security department '' where I talked to XXXX, and was told that they "" never received the documents. '' This makes me very concerned. Discover Card initiated the call and the letter and the fraud alert. Yet, its representatives have consistently given me the proverbial "" run around. '' I believe that someone within the organization is perpetrating this scam, but I doubt that I will ever get to the bottom of this. 
I do not believe that in the entire nation I am the only person who has encountered this.",,DISCOVER BANK,NM,880XX,Older American,Consent provided,Web,03/07/2017,Closed with explanation,Yes,No,2375963
7/31/13,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,Resurgent Capital Services L.P.,AK,99654,,N/A,Web,8/22/13,Closed with explanation,Yes,Yes,464503
10/23/13,Credit reporting,,Incorrect information on credit report,Account terms,,,"EQUIFAX, INC.",SC,29577,,N/A,Web,10/24/13,Closed with explanation,Yes,Yes,567637
10/04/2016,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,CAPITAL ONE FINANCIAL CORPORATION,LA,70123,,Consent not provided,Web,10/04/2016,Closed with monetary relief,Yes,No,2145350
09/05/2014,Payday loan,,Charged fees or interest I didn't expect,,,,"GVA Holdings, LLC",IL,60620,,N/A,Web,09/10/2014,Closed with monetary relief,Yes,No,1015861
6/19/15,Bank account or service,Checking account,Problems caused by my funds being low,,"US Bank offered me a payment arrangement via XXXX Mail for my overdrawn checking accounts. I entered into an oral agreement to make a monthly payment for XXXX for each checking account overdrawn while the accounts remained active and go back to a XXXX balance. I was told by US BANK to make my monthly payments on the XXXX of each month. The payments were due the following month XXXX and XXXX. I did not make the payment on the XXXX due to paying electric, gas and mortgage.. Approximately XXXX after the XXXX US Bank debited my accounts for XXXX which equal {$210.00}. I called US BANK to ask why are you withdrawing funds from my account without my permission? I did not authorize US BANK withdraw payments from my checking accounts. The XXXX thing US BANK REP said to me was Awwww we are n't suppose to debit your checking accounts, you 're suppose to make the payments on your own. US BANK REP said its an error call the recovery dept and let them know what is going and I 'm sure that department will refund your account. I called to no avail and waste of my time. I was told to called the XXXX XXXX Ohio Branch and talk to manager she refused to refund my acct. They claim I was told the debits would happen monthly. I said not true I never signed anything either. I would never agree to US BANK debiting my account monthly for repayment plan. We 'll US BANK not only debits my checking accounts monthly without my permission, US BANK will cause my accounts to overdraw and then charged more overdraft fees? I did not agree or sign anything agreeing to US BANK debiting my checking accounts for the payments of XXXX and on top that charging me an overdraft fees for overdrawing my accounts. As of XXXX my accounts are overdrawn with another overdraft fee of {$36.00} because US BANK debited each checking account for {$100.00} which overdrew my accounts. Clearly US BANK could see there was less than {$50.00} in each account. A few months ago US BANK charged me another overdraft fee after debiting my XXXX checking accounts for XXXX without my permission for the payment plan. US BANK refuses to refund my overdraft fees due to US BANK unauthorized debits to my checking accounts for monthly payment plan. I tired of all these extra fees. Example my account was positive on XXXX and woke up on XXXX it was overdrawn so before XX/XX/XXXX I transferred the funds over from XXXX US BANK checking account to the other and I was still charged overdraft fee of {$36.00}. US BANK continues to overcharge my account with UN-necessary overdrafts fees. This is unfair cause I 'm already struggling to repay them overdraft fees accumulated on my account because a merchant kept trying to electronically debit my account and US BANK could see there was no money in the account but each time the merchant try to debit, the debit was unpaid and a overdraft fee of {$36.00} and {$25.00} weekly fee. XXXX my accounts were positive XXXX accounts are negative because of XXXX debits {$100.00} = {$210.00} plus I was charge another overdraft fee of {$36.00}. US BANK has to stop this mess, its unfair. I made the agreement in good faith but I never agreed or signed anything stating US BANK could debit my accounts for a total of {$210.00}. I ca n't pay US BANK before I pay my mortgage, gas, water and electric bill. I try calling and asking for refunds of these fees this morning to no avail. I called and try to talk to manager in XXXX three months ask for the overdraft fees back at least I was told no and this was after my accounts were debited over {$300.00} for the payment plan without my permission. Because one month my account was not debited by US BANK. I called US BANK over and over again told them I never agreed to you debiting my account. I was told when signing up over the phone for repayment plan I was to make the payment and I was never told US BANK would debit my account monthly",Company chooses not to provide a public response,U.S. BANCORP,OH,431XX,,Consent provided,Web,6/19/15,Closed with monetary relief,Yes,Yes,1429475
4/17/16,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"We purchased our home in XX/XX/XXXX, for {$380000.00}, and it closed at short sale XX/XX/XXXX for {$250000.00}. To satisfy the deficiency and close out any chance of future claims against the deficiency amount, we even paid {$2000.00} to BofA at closing. Our mortgage loan # 's were XXXX ( XXXX & larger loan owned by XXXX ) & XXXX ( second smaller loan owned by Bank of America. 
Industry FRAUD was the reason why our home lost market value. We were enrolled in MHA program, which principal reductions were part of program, and we were NEVER offered this option. Short sale was the result of FRAUD and no support of XXXX thru MHA. 

For the XXXX which our loans were a part of, was XXXX involved as the ratings agency? See DOJ press release thru this link : XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,125XX,,Consent provided,Web,4/17/16,Closed with explanation,Yes,No,1883367
10/16/14,Mortgage,Other mortgage,Other,,,,NATIONSTAR MORTGAGE,FL,33182,,N/A,Referral,10/22/14,Closed with explanation,Yes,No,1073196
7/21/15,Bank account or service,Savings account,Deposits and withdrawals,,"I have power of attorney and am a co-signer on my mother 's checking and savings account. My mother gets a monthly dividend check, I have always deposited these checks in person to my mother 's account, the check is made out to her. I never had a problem in XXXX, XXXX or XXXX XXXX until I moved to XXXX, XXXX. The Asst Mgr of the XXXX, XXXX, XXXX branch said that I could n't do this. When I told him I had been doing it for years, he adamantly said no, you ca n't do this. No adequate explanation was given. ( I believe his name is XXXX XXXX ) When I said I could go across the street and do this and made one more attempt by asking him to look up the history of deposits. My mother is in assisted living and ca n't easily go to the bank. He then said okay, I asked why he could grant it then, and why could n't he grant it before? Again, I am a co-signer and also have power of attorney on record with Chase. 

I had this savings account up for my mother for this very reason, now they 're telling me I ca n't deposit any moneys into my mother 's account, even though I have power of attorney and am a co-signor.",,JPMORGAN CHASE & CO.,TX,750XX,Older American,Consent provided,Web,7/21/15,Closed with explanation,Yes,Yes,1479575
1/24/12,Credit card,,Credit card protection / Debt protection,,,,HSBC NORTH AMERICA HOLDINGS INC.,NY,12508,,N/A,Web,1/24/12,Closed without relief,Yes,Yes,16038
6/30/16,Bank account or service,Checking account,"Account opening, closing, or management",,"I recently signed up for a CitiGold account under the promotion that if I spent {$1000.00} using the included debit card, and completed XXXX bill payments, I would be rewarded with XXXX AAdvantage miles. I was told in a chat XX/XX/XXXX that I had completed the requirements, and would see my miles by XX/XX/XXXX. It is now XX/XX/XXXX and while they said they opened an investigation, they have been unresponsive regarding the reward.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MO,658XX,,Consent provided,Web,6/30/16,Closed with non-monetary relief,Yes,No,1993224
07/09/2012,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,U.S. BANCORP,CA,96127,,N/A,Referral,07/09/2012,Closed with explanation,Yes,No,114291
04/06/2015,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,I found a ding on my credit report from this company and have NEVER received a bill or any other communication from this debt collector.,Company chooses not to provide a public response,"Dynamic Recovery Solutions, LLC",GA,310XX,,Consent provided,Web,04/06/2015,Closed with non-monetary relief,Yes,No,1317201
12/20/11,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91384,,N/A,Web,12/21/11,Closed without relief,Yes,No,7145
08/06/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,ENCORE CAPITAL GROUP INC.,OK,73661,,N/A,Phone,08/07/2013,Closed with explanation,Yes,Yes,481511
03/02/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19150,,N/A,Referral,03/08/2017,Closed with non-monetary relief,Yes,No,2368962
2/25/15,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,"Machol & Johannes, LLC",CO,80920,,N/A,Web,2/25/15,Closed with explanation,Yes,No,1256638
6/22/15,Credit card,,Identity theft / Fraud / Embezzlement,,,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",,,,N/A,Referral,6/24/15,Closed with explanation,Yes,No,1431711
10/16/14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CAPITAL ONE FINANCIAL CORPORATION,VA,20148,,N/A,Referral,10/22/14,Closed with explanation,Yes,No,1073511
01/10/2014,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,EAST WEST BANK,CA,91789,,N/A,Web,01/10/2014,Closed with explanation,Yes,No,662754
05/05/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Universal Recovery Corporation,CA,95687,,Consent not provided,Web,05/05/2015,Closed with explanation,No,Yes,1361885
03/10/2016,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,,,OCWEN LOAN SERVICING LLC,FL,33624,,N/A,Referral,3/14/16,Closed with explanation,Yes,No,1827068
4/14/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Debt Recovery Solutions, LLC",VA,23220,,Consent not provided,Web,4/14/15,Closed with explanation,Yes,No,1329835
1/19/17,Student loan,Federal student loan servicing,Can't repay my loan,Can't get flexible payment options,,,"Navient Solutions, LLC.",GA,30655,,Consent not provided,Web,02/08/2017,Closed with explanation,Yes,No,2297299
3/18/16,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",VA,23321,,N/A,Referral,3/22/16,Closed with explanation,Yes,No,1838993
01/03/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,CA,92517,,N/A,Referral,01/04/2013,Closed with explanation,Yes,No,221529
5/27/16,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,30319,,N/A,Referral,06/02/2016,Closed with explanation,Yes,No,1945847
10/03/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,BANCO SANTANDER PUERTO RICO,PR,984,,N/A,Web,10/03/2014,Closed with explanation,Yes,Yes,1057650
07/07/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,IL,61111,,N/A,Web,07/07/2014,Closed with explanation,Yes,No,925924
9/30/16,Bank account or service,Checking account,Deposits and withdrawals,,"Wells Fargo employees withdraw funds from account to purchase personal items. when funds were deposited into account for loan payment, the balance did not decrease for several months. After receiving notification for payment not being paid, I personally went and discuss to employees that why are different Wells Fargo branches sending no payment notifications. They said not to worry everything is taken care of.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,784XX,Older American,Consent provided,Web,9/30/16,Closed with explanation,No,No,2143008
10/01/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Ceannate,MA,2474,,N/A,Web,10/07/2014,Closed with explanation,Yes,No,1053663
07/06/2014,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32765,,N/A,Web,07/09/2014,Closed with non-monetary relief,Yes,No,924255
03/04/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,REGIONS FINANCIAL CORPORATION,AL,36319,,N/A,Web,03/05/2012,Closed without relief,Yes,No,29859
10/11/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,TX,76137,,N/A,Postal mail,12/17/13,Closed with explanation,Yes,No,557739
7/14/14,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,WA,98043,,N/A,Web,7/14/14,Closed with explanation,Yes,No,936311
07/10/2014,Credit card,,Transaction issue,,,,AMERICAN EXPRESS COMPANY,GA,30306,,N/A,Referral,7/15/14,Closed with explanation,Yes,No,931270
12/02/2015,Credit reporting,,Incorrect information on credit report,Public record,,,"EQUIFAX, INC.",TN,37845,,Consent not provided,Web,12/02/2015,Closed with explanation,Yes,Yes,1680202
1/20/17,Credit card,,Late fee,,"Bank of America charged me a late fee because my credit card payment did not clear by the due date of my monthly bill, despite the fact that I had automatic payment set up with the option checked "" Pay to arrive on due date. '' The phone representative who I spoke with said that this option did not account for possible lags in the funds transfer between banks, which could take up to 72 hours. However, there was no warning on the automatic payment screen on their website that indicated this.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,981XX,,Consent provided,Web,1/20/17,Closed with monetary relief,Yes,Yes,2296588
05/05/2016,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"EVERGREEN PROFESSIONAL RECOVERIES, INC.",WA,98373,,Consent not provided,Web,05/05/2016,Closed with explanation,Yes,Yes,1911932
6/27/13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",DC,20012,,N/A,Referral,07/01/2013,Closed with explanation,Yes,No,443382
7/18/14,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94134,,N/A,Referral,7/23/14,Closed with explanation,Yes,No,943697
12/04/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,SLM CORPORATION,PA,16137,,N/A,Web,12/04/2014,Closed with explanation,Yes,No,1142424
4/18/14,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian Information Solutions Inc.,WV,25427,,N/A,Web,4/22/14,Closed with explanation,Yes,Yes,814640
07/01/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes it acted appropriately as authorized by contract or law,ERC,FL,33324,,Consent not provided,Web,07/01/2015,Closed with non-monetary relief,Yes,Yes,1448283
3/27/17,Credit card,,Closing/Cancelling account,,"I had a Rooms To Go Synchrony Bank credit card that I obtained around 5-6 years ago. I have made two big purchases and paid off the items per terms. I went in yesterday to make another large purchase. The sales-rep asked for my license to ensure I still had an account. I said oh, I am certain I do. I log in to the website to pay a different card all the time and I see my Rooms To Go Synchrony Bank credit card still. It says I have an available limit of XXXX. She said, oh, we still need to check because they close them out all the time but do n't notify you or update their system. I thought to myself ... no way! That would be ridiculous. Well, sure enough. That 's what happened. They closed out the card without notifying me. I called to see if what the rep said was correct and Synchrony Bank verified that the card had been closed last year in XXXX. I was not notified and she said this was their normal practice. If the card is not used for a period of time, they simply close it out without any warning. I was very upset because this can have an impact on my credit score. It was one of my long standing credit limits and I did nothing for it to be closed. No one asked me if they could close it, notified me that they were or had my authorization to do so. I asked the rep to re-open the card. She stated she could not but I could simply reapply. Well, re-qualifying is n't a problem but I do not like the fact they will have to re-pull my credit ( causing a new inquiry ) and it will appear as a new credit line ( effecting my credit score ). I am very unhappy with the way this was handled. I chose their location to make my purchase because I already have a card with them -- and this is how they repay me? Very dissatisfied. I want my old account re-opened so I can make this purchase. If they can not, I will have to spend XXXX elsewhere.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,TX,754XX,,Consent provided,Web,3/28/17,Closed with explanation,Yes,No,2406612
11/09/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,,FIRST ADVANTAGE CORPORATION,TX,77510,,N/A,Phone,11/09/2016,Closed with explanation,Yes,No,2202061
